,0,1
93,0.028480358684358047,1.0
5,2.848035868435805e-10,10.0
82,0.001,8.0
95,0.01,3.0
19,4.328761281083061e-09,10.0
71,0.0005336699231206312,10.0
84,0.004328761281083062,3.0
60,2.3101297000831627e-05,10.0
97,0.06579332246575682,0.0
73,0.0002848035868435805,10.0
3,2.310129700083158e-10,10.0
86,0.01519911082952933,1.0
62,4.328761281083062e-05,10.0
99,0.0008111308307896872,8.0
75,0.00043287612810830614,10.0
51,5.336699231206313e-06,10.0
88,0.02310129700083158,1.0
64,8.111308307896872e-05,10.0
40,2.848035868435805e-07,10.0
6,6.579332246575682e-10,10.0
77,0.0006579332246575682,8.0
53,3.5111917342151347e-06,10.0
92,0.03511191734215127,1.0
1,4.3287612810830617e-10,10.0
66,5.3366992312063123e-05,10.0
42,4.3287612810830616e-07,10.0
79,0.0015199110829529332,5.0
81,0.008111308307896872,3.0
55,1.2328467394420658e-05,10.0
94,0.01873817422860387,1.0
31,4.328761281083061e-08,10.0
68,0.0001,10.0
44,8.111308307896872e-07,10.0
83,0.005336699231206312,3.0
20,6.579332246575682e-09,10.0
4,1e-10,10.0
57,2.848035868435805e-06,10.0
33,1e-07,10.0
72,0.0003511191734215135,10.0
96,0.1,0.0
46,1e-06,10.0
85,0.006579332246575682,3.0
22,1.8738174228603867e-08,10.0
61,3.511191734215135e-05,10.0
98,0.0035111917342151347,3.0
35,1.232846739442066e-07,10.0
74,0.0018738174228603867,5.0
11,1.519911082952933e-09,10.0
48,2.310129700083158e-06,10.0
50,4.328761281083061e-06,10.0
24,8.11130830789689e-09,10.0
63,0.0001519911082952933,10.0
87,0.012328467394420685,1.0
2,3.5111917342151276e-10,10.0
37,2.310129700083158e-07,10.0
13,1e-09,10.0
52,8.111308307896873e-06,10.0
76,0.0012328467394420659,5.0
26,2.848035868435805e-08,10.0
65,0.0001232846739442066,10.0
41,1.8738174228603868e-07,10.0
78,0.0028480358684358047,5.0
89,0.043287612810830614,1.0
15,3.5111917342151273e-09,10.0
54,1.873817422860383e-05,10.0
30,2.310129700083158e-08,10.0
67,6.579332246575683e-05,10.0
43,5.336699231206313e-07,10.0
0,5.336699231206302e-10,10.0
17,2.848035868435805e-09,10.0
32,6.579332246575682e-08,10.0
56,1e-05,10.0
69,0.0001873817422860383,10.0
45,1.873817422860383e-06,10.0
21,1.519911082952933e-08,10.0
58,1.5199110829529332e-05,10.0
34,1.519911082952933e-07,10.0
10,8.111308307896889e-10,10.0
47,6.579332246575683e-06,10.0
8,1.5199110829529332e-10,10.0
23,1e-08,10.0
36,1.232846739442066e-06,10.0
12,1.2328467394420635e-09,10.0
49,1.519911082952933e-06,10.0
25,3.5111917342151277e-08,10.0
38,3.5111917342151277e-07,10.0
90,0.053366992312063016,1.0
14,5.336699231206302e-09,10.0
27,1.232846739442066e-08,10.0
16,1.873817422860387e-09,10.0
29,5.3366992312063125e-08,10.0
18,2.310129700083158e-09,10.0
9,1.2328467394420683e-10,10.0
70,0.00023101297000831627,10.0
59,2.8480358684358048e-05,10.0
7,1.8738174228603868e-10,10.0
39,6.579332246575682e-07,10.0
91,0.08111308307896889,0.0
28,8.111308307896873e-08,10.0
80,0.0023101297000831626,5.0
