dataset,fold,score_set,method,stage,features,scores,lookahead,psl_calibration_method,psl_optimization_metric,brier_score_loss_train,brier_score_loss_test,roc_auc_score_train,roc_auc_score_test,constrained_precision_train,constrained_precision_test,expected_entropy_train,expected_entropy_test,accuracy_score_y_pred_train,accuracy_score_y_pred_test,accuracy_score_y_bal_train,accuracy_score_y_bal_test,f1_score_y_pred_train,f1_score_y_pred_test,f1_score_y_bal_train,f1_score_y_bal_test,precision_score_y_pred_train,precision_score_y_pred_test,precision_score_y_bal_train,precision_score_y_bal_test,recall_score_y_pred_train,recall_score_y_pred_test,recall_score_y_bal_train,recall_score_y_bal_test,balanced_accuracy_score_y_pred_train,balanced_accuracy_score_y_pred_test,balanced_accuracy_score_y_bal_train,balanced_accuracy_score_y_bal_test
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,0,[],[],2,isotonic,expected_entropy,0.2474492398734823,0.2510203040506071,0.5,0.5,0.4494949494949495,0.4848484848484848,0.9926274950457996,0.9926274950457996,0.5505050505050505,0.5151515151515151,0.5505050505050505,0.5151515151515151,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,1,[6],[3],2,isotonic,expected_entropy,0.2084615126598048,0.2229586322176356,0.6850324708792908,0.6629901960784313,0.4494949494949495,0.4848484848484848,0.876263200960468,0.8716351214621018,0.702020202020202,0.6666666666666666,0.702020202020202,0.6666666666666666,0.609271523178808,0.611764705882353,0.609271523178808,0.611764705882353,0.7419354838709677,0.7027027027027027,0.7419354838709677,0.7027027027027027,0.5168539325842697,0.5416666666666666,0.5168539325842697,0.5416666666666666,0.6850324708792908,0.6629901960784313,0.6850324708792908,0.6629901960784313
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,2,"[6, 14]","[3, 2]",2,isotonic,expected_entropy,0.1919259227879917,0.1918133571487622,0.7352334810844243,0.7469362745098039,0.4494949494949495,0.4848484848484848,0.8107214429915245,0.7702101295904944,0.7121212121212122,0.7272727272727273,0.7121212121212122,0.7272727272727273,0.6666666666666666,0.7157894736842105,0.6666666666666666,0.7157894736842105,0.6951219512195121,0.723404255319149,0.6951219512195121,0.723404255319149,0.6404494382022472,0.7083333333333334,0.6404494382022472,0.7083333333333334,0.7055458200185548,0.7267156862745099,0.7055458200185548,0.7267156862745099
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,3,"[6, 14, 15]","[3, 2, 3]",2,isotonic,expected_entropy,0.1828039117744999,0.18403728332016,0.7699206267395113,0.7753267973856209,0.4494949494949495,0.4848484848484848,0.7829810749591104,0.7461885843141641,0.7373737373737373,0.7474747474747475,0.7373737373737373,0.7474747474747475,0.6666666666666666,0.7191011235955055,0.6666666666666666,0.7191011235955055,0.7761194029850746,0.7804878048780488,0.7761194029850746,0.7804878048780488,0.5842696629213483,0.6666666666666666,0.5842696629213483,0.6666666666666666,0.7233274920111329,0.7450980392156863,0.7233274920111329,0.7450980392156863
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,4,"[6, 14, 15, 11]","[3, 2, 3, 2]",2,isotonic,expected_entropy,0.1703647094728966,0.1984661424607957,0.793990310277291,0.7512254901960784,0.4494949494949495,0.4848484848484848,0.731744500051343,0.6911808858259981,0.7474747474747475,0.696969696969697,0.7474747474747475,0.696969696969697,0.6527777777777777,0.625,0.6527777777777777,0.625,0.8545454545454545,0.78125,0.8545454545454545,0.78125,0.5280898876404494,0.5208333333333334,0.5280898876404494,0.5208333333333334,0.7273476961138027,0.6917892156862746,0.7273476961138027,0.6917892156862746
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,5,"[6, 14, 15, 11, 7]","[3, 2, 3, 2, 1]",2,isotonic,expected_entropy,0.160783314809532,0.1993786911795754,0.817080713328523,0.7467320261437909,0.5341614906832298,0.5294117647058824,0.6937665210926288,0.670994127096586,0.7626262626262627,0.7070707070707071,0.7626262626262627,0.7070707070707071,0.7080745341614907,0.6666666666666667,0.7080745341614907,0.6666666666666667,0.7916666666666666,0.7435897435897436,0.7916666666666666,0.7435897435897436,0.6404494382022472,0.6041666666666666,0.6404494382022472,0.6041666666666666,0.7514173796515824,0.7040441176470589,0.7514173796515824,0.7040441176470589
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,6,"[6, 14, 15, 11, 7, 5]","[3, 2, 3, 2, 1, 1]",2,isotonic,expected_entropy,0.15862372617031,0.1995793907309391,0.8200185547881661,0.7487745098039216,0.5056818181818182,0.5056179775280899,0.6726770844527415,0.6401172978971529,0.7626262626262627,0.7171717171717171,0.7626262626262627,0.7171717171717171,0.7185628742514971,0.6888888888888889,0.7185628742514971,0.6888888888888889,0.7692307692307693,0.7380952380952381,0.7692307692307693,0.7380952380952381,0.6741573033707865,0.6458333333333334,0.6741573033707865,0.6458333333333334,0.7545098443459437,0.7150735294117647,0.7545098443459437,0.7150735294117647
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,7,"[6, 14, 15, 11, 7, 5, 12]","[3, 2, 3, 2, 1, 1, 2]",2,isotonic,expected_entropy,0.1560890648492068,0.1876594270335349,0.8267704360375219,0.7851307189542485,0.5269461077844312,0.5555555555555556,0.667383216327163,0.6348800939351066,0.7626262626262627,0.7070707070707071,0.7575757575757576,0.7373737373737373,0.6618705035971224,0.6133333333333334,0.6923076923076924,0.7045454545454546,0.92,0.8518518518518519,0.8059701492537313,0.775,0.5168539325842697,0.4791666666666667,0.6067415730337079,0.6458333333333334,0.7400783424389239,0.7003676470588235,0.7437377589939183,0.7346813725490196
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,8,"[6, 14, 15, 11, 7, 5, 12, 8]","[3, 2, 3, 2, 1, 1, 2, -2]",2,isotonic,expected_entropy,0.1570963951768905,0.1910534648036411,0.8276466343675909,0.7761437908496732,0.56,0.5714285714285714,0.6703148977329879,0.6686134160956184,0.7575757575757576,0.7070707070707071,0.7525252525252525,0.7272727272727273,0.6521739130434783,0.6133333333333334,0.6838709677419355,0.6896551724137931,0.9183673469387756,0.8518518518518519,0.803030303030303,0.7692307692307693,0.5056179775280899,0.4791666666666667,0.5955056179775281,0.625,0.7344603649108339,0.7003676470588235,0.7381197814658282,0.7242647058823529
heart,0,"[-3, -2, -1, 1, 2, 3]",PSL,9,"[6, 14, 15, 11, 7, 5, 12, 8, 13]","[3, 2, 3, 2, 1, 1, 2, -2, 1]",2,isotonic,expected_entropy,0.15567862973166,0.1820306821982193,0.8272343057416761,0.7969771241830065,0.56,0.6027397260273972,0.6653473644577121,0.6479761027552475,0.7575757575757576,0.7171717171717171,0.7575757575757576,0.7171717171717171,0.6417910447761195,0.6216216216216216,0.6417910447761195,0.6216216216216216,0.9555555555555556,0.8846153846153846,0.9555555555555556,0.8846153846153846,0.4831460674157303,0.4791666666666667,0.4831460674157303,0.4791666666666667,0.7323987217812596,0.710171568627451,0.7323987217812596,0.710171568627451
