dataset,fold,score_set,method,stage,features,scores,lookahead,psl_calibration_method,psl_optimization_metric,brier_score_loss_train,brier_score_loss_test,roc_auc_score_train,roc_auc_score_test,constrained_precision_train,constrained_precision_test,expected_entropy_train,expected_entropy_test,accuracy_score_y_pred_train,accuracy_score_y_pred_test,accuracy_score_y_bal_train,accuracy_score_y_bal_test,f1_score_y_pred_train,f1_score_y_pred_test,f1_score_y_bal_train,f1_score_y_bal_test,precision_score_y_pred_train,precision_score_y_pred_test,precision_score_y_bal_train,precision_score_y_bal_test,recall_score_y_pred_train,recall_score_y_pred_test,recall_score_y_bal_train,recall_score_y_bal_test,balanced_accuracy_score_y_pred_train,balanced_accuracy_score_y_pred_test,balanced_accuracy_score_y_bal_train,balanced_accuracy_score_y_bal_test
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,0,[],[],2,isotonic,expected_entropy,0.22413322544039,0.2345914313245836,0.5,0.5,0.3391684901531728,0.3716814159292035,0.924020783737106,0.9240207837371058,0.6608315098468271,0.6283185840707964,0.6608315098468271,0.6283185840707964,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,1,[5],[3],2,isotonic,expected_entropy,0.0948416041512498,0.1043950766231117,0.841850032044435,0.8490107310529846,0.3391684901531728,0.3716814159292035,0.4722443177849889,0.450310543082472,0.8905908096280087,0.8805309734513275,0.8905908096280087,0.8805309734513275,0.8106060606060606,0.8187919463087249,0.8106060606060606,0.8187919463087249,0.981651376146789,0.9384615384615383,0.981651376146789,0.9384615384615383,0.6903225806451613,0.7261904761904762,0.6903225806451613,0.7261904761904762,0.8418500320444349,0.8490107310529846,0.8418500320444349,0.8490107310529846
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,2,"[5, 1]","[3, 2]",2,isotonic,expected_entropy,0.0356858990360647,0.0628092359594031,0.9503418073061312,0.9225771294433268,0.9791666666666666,0.3716814159292035,0.2263449161080677,0.2213810834053426,0.962800875273523,0.9336283185840708,0.962800875273523,0.9336283185840708,0.94314381270903,0.906832298136646,0.94314381270903,0.906832298136646,0.9791666666666666,0.948051948051948,0.9791666666666666,0.948051948051948,0.9096774193548388,0.8690476190476191,0.9096774193548388,0.8690476190476191,0.9498718222602008,0.920439302481556,0.9498718222602008,0.920439302481556
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,3,"[5, 1, 0]","[3, 2, 1]",2,isotonic,expected_entropy,0.0274255593612844,0.0468058761573281,0.9801538132877587,0.9631958417169684,0.9791666666666666,0.9195402298850576,0.1622933724936855,0.1565527498516792,0.962800875273523,0.9336283185840708,0.9562363238512036,0.9513274336283186,0.94314381270903,0.906832298136646,0.937888198757764,0.935672514619883,0.9791666666666666,0.948051948051948,0.9041916167664672,0.9195402298850576,0.9096774193548388,0.8690476190476191,0.9741935483870968,0.9523809523809524,0.9498718222602008,0.920439302481556,0.9606067079683828,0.9515425888665324
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,4,"[5, 1, 0, 7]","[3, 2, 1, 1]",2,isotonic,expected_entropy,0.0233524217452705,0.0475702075753646,0.98737449262978,0.9612256874580818,0.979591836734694,0.8791208791208791,0.1336471030748596,0.1301125459938738,0.9693654266958424,0.9424778761061948,0.9540481400437636,0.9336283185840708,0.9536423841059604,0.920245398773006,0.9357798165137616,0.9142857142857144,0.979591836734694,0.9493670886075948,0.8895348837209303,0.8791208791208791,0.9290322580645162,0.8928571428571429,0.9870967741935484,0.9523809523809524,0.9595492416150396,0.932344064386318,0.96209143345439,0.937458081824279
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,5,"[5, 1, 0, 7, 3]","[3, 2, 1, 1, 1]",2,isotonic,expected_entropy,0.0230259357546475,0.0462711411605487,0.9881542405468916,0.9689805499664657,0.9797297297297296,0.8709677419354839,0.1320585935083653,0.1310268500900266,0.9715536105032824,0.9424778761061948,0.9715536105032824,0.9424778761061948,0.957095709570957,0.920245398773006,0.957095709570957,0.920245398773006,0.9797297297297296,0.9493670886075948,0.9797297297297296,0.9493670886075948,0.935483870967742,0.8928571428571429,0.935483870967742,0.8928571428571429,0.9627750480666524,0.932344064386318,0.9627750480666524,0.932344064386318
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,6,"[5, 1, 0, 7, 3, 8]","[3, 2, 1, 1, 1, 1]",2,isotonic,expected_entropy,0.0221848422459604,0.0424532421390893,0.9883571886349072,0.9698608316566064,0.9798657718120806,0.9506172839506172,0.1296546835370698,0.1242610295937176,0.973741794310722,0.9513274336283186,0.973741794310722,0.9513274336283186,0.9605263157894736,0.9333333333333332,0.9605263157894736,0.9333333333333332,0.9798657718120806,0.9506172839506172,0.9798657718120806,0.9506172839506172,0.9419354838709676,0.9166666666666666,0.9419354838709676,0.9166666666666666,0.9660008545182652,0.9442488262910798,0.9660008545182652,0.9442488262910798
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,7,"[5, 1, 0, 7, 3, 8, 6]","[3, 2, 1, 1, 1, 1, 1]",2,isotonic,expected_entropy,0.0226049727179933,0.042401610833103,0.9887951292458876,0.9706572769953052,0.9794520547945206,0.951219512195122,0.1312902262677703,0.1368454860247727,0.973741794310722,0.9557522123893806,0.973741794310722,0.9557522123893806,0.9610389610389612,0.9397590361445782,0.9610389610389612,0.9397590361445782,0.9673202614379084,0.951219512195122,0.9673202614379084,0.951219512195122,0.9548387096774194,0.9285714285714286,0.9548387096774194,0.9285714285714286,0.9691412091433456,0.9502012072434608,0.9691412091433456,0.9502012072434608
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,8,"[5, 1, 0, 7, 3, 8, 6, 4]","[3, 2, 1, 1, 1, 1, 1, 1]",2,isotonic,expected_entropy,0.023056980486258,0.0459953809884218,0.989265114291818,0.9709087860496312,0.979591836734694,0.9186046511627908,0.1302498900302401,0.1452578684487213,0.9715536105032824,0.9469026548672568,0.9715536105032824,0.9469026548672568,0.9579288025889968,0.9294117647058824,0.9579288025889968,0.9294117647058824,0.961038961038961,0.9186046511627908,0.961038961038961,0.9186046511627908,0.9548387096774194,0.9404761904761904,0.9548387096774194,0.9404761904761904,0.9674855800042724,0.9455902079141516,0.9674855800042724,0.9455902079141516
breast,0,"[-3, -2, -1, 1, 2, 3]",PSL,9,"[5, 1, 0, 7, 3, 8, 6, 4, 2]","[3, 2, 1, 1, 1, 1, 1, 1, -1]",2,isotonic,expected_entropy,0.0239827695277116,0.0559697296072543,0.9890408032471694,0.966842723004695,0.9790209790209792,0.8350515463917526,0.134178065317471,0.1431940372586484,0.9715536105032824,0.9292035398230089,0.9715536105032824,0.9292035398230089,0.9579288025889968,0.9036144578313252,0.9579288025889968,0.9036144578313252,0.961038961038961,0.9146341463414634,0.961038961038961,0.9146341463414634,0.9548387096774194,0.8928571428571429,0.9548387096774194,0.8928571428571429,0.9674855800042724,0.9217806841046278,0.9674855800042724,0.9217806841046278
