dataset,fold,score_set,method,c_value,stage,features,scores,slim_threshold,solution_code,accuracy_score_y_pred_train,accuracy_score_y_pred_test,f1_score_y_pred_train,f1_score_y_pred_test,precision_score_y_pred_train,precision_score_y_pred_test,recall_score_y_pred_train,recall_score_y_pred_test,balanced_accuracy_score_y_pred_train,balanced_accuracy_score_y_pred_test,lookahead,psl_calibration_method,psl_optimization_metric,brier_score_loss_train,brier_score_loss_test,roc_auc_score_train,roc_auc_score_test,constrained_precision_train,constrained_precision_test,expected_entropy_train,expected_entropy_test,accuracy_score_y_bal_train,accuracy_score_y_bal_test,f1_score_y_bal_train,f1_score_y_bal_test,precision_score_y_bal_train,precision_score_y_bal_test,recall_score_y_bal_train,recall_score_y_bal_test,balanced_accuracy_score_y_bal_train,balanced_accuracy_score_y_bal_test
thorax,0,"[-3, -2, -1, 1, 2, 3]",SLIM,0.001,6,"[0, 2, 4, 5, 8, 9]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",7.0,101.0,0.7865853658536586,0.7901234567901234,0.5116279069767442,0.5321100917431193,0.3594771241830065,0.3766233766233766,0.8870967741935484,0.90625,0.8295948987246812,0.839380924170616,,,,,,,,,,,,,,,,,,,,,
thorax,0,"[-3, -2, -1, 1, 2, 3]",SLIM,1e-05,6,"[0, 2, 4, 5, 8, 9]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",7.0,101.0,0.7865853658536586,0.7901234567901234,0.5116279069767442,0.5321100917431193,0.3594771241830065,0.3766233766233766,0.8870967741935484,0.90625,0.8295948987246812,0.839380924170616,,,,,,,,,,,,,,,,,,,,,
thorax,0,"[-3, -2, -1, 1, 2, 3]",SLIM,1e-07,6,"[0, 2, 4, 5, 8, 9]","[2.0, 2.0, 2.0, 2.0, 2.0, 3.0]",8.0,101.0,0.7865853658536586,0.7901234567901234,0.5116279069767442,0.5321100917431193,0.3594771241830065,0.3766233766233766,0.8870967741935484,0.90625,0.8295948987246812,0.839380924170616,,,,,,,,,,,,,,,,,,,,,
thorax,0,"[-3, -2, -1, 1, 2, 3]",SLIM,1e-09,7,"[0, 1, 2, 4, 5, 8, 9]","[3.0, 1.0, 3.0, 3.0, 2.0, 3.0, 3.0]",11.0,101.0,0.7865853658536586,0.7901234567901234,0.5116279069767442,0.5321100917431193,0.3594771241830065,0.3766233766233766,0.8870967741935484,0.90625,0.8295948987246812,0.839380924170616,,,,,,,,,,,,,,,,,,,,,
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,0,[],[],,,0.8739837398373984,0.8683127572016461,0.0,0.0,,,0.0,0.0,0.5,0.5,2.0,isotonic,expected_entropy,0.1101361623372331,0.1143778729265763,0.5,0.5,0.1260162601626016,0.1316872427983539,0.5464106505273411,0.5464106505273411,0.8739837398373984,0.8683127572016461,0.0,0.0,,,0.0,0.0,0.5,0.5
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,1,[5],[2],,,0.8739837398373984,0.8683127572016461,0.0,0.0,,,0.0,0.0,0.5,0.5,2.0,isotonic,expected_entropy,0.0954765036095739,0.0961504957223751,0.7068267066766691,0.724377962085308,0.1260162601626016,0.1316872427983539,0.4718080799448526,0.4730657683501623,0.8373983739837398,0.8436213991769548,0.452054794520548,0.4864864864864864,0.3928571428571428,0.4285714285714285,0.532258064516129,0.5625,0.7068267066766691,0.7243779620853081
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,2,"[5, 8]","[2, 2]",,,0.8922764227642277,0.8724279835390947,0.5391304347826086,0.4918032786885246,0.5849056603773585,0.5172413793103449,0.5,0.46875,0.7244186046511628,0.701199644549763,2.0,isotonic,expected_entropy,0.0834609138831745,0.0923959367718084,0.7918792198049512,0.7923578199052133,0.1924398625429553,0.1962025316455696,0.419088374829509,0.4419333266011615,0.8922764227642277,0.8724279835390947,0.5391304347826086,0.4918032786885246,0.5849056603773585,0.5172413793103449,0.5,0.46875,0.7244186046511628,0.701199644549763
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,3,"[5, 8, 4]","[2, 2, 1]",,,0.8963414634146342,0.9012345679012346,0.3376623376623376,0.4545454545454545,0.8666666666666667,0.8333333333333334,0.2096774193548387,0.3125,0.6025131282820705,0.6515106635071091,2.0,isotonic,expected_entropy,0.0777986158972263,0.0825799670566268,0.8268192048012002,0.837603672985782,0.1924398625429553,0.1962025316455696,0.3923531246920165,0.4167937928769575,0.8536585365853658,0.831275720164609,0.5324675324675325,0.5176470588235295,0.4456521739130434,0.4150943396226415,0.6612903225806451,0.6875,0.7713428357089271,0.7702902843601895
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,4,"[5, 8, 4, 0]","[2, 2, 1, 1]",,,0.8963414634146342,0.897119341563786,0.5233644859813085,0.5283018867924528,0.6222222222222222,0.6666666666666666,0.4516129032258064,0.4375,0.706039009752438,0.7021623222748815,2.0,isotonic,expected_entropy,0.0760782385762054,0.0788716882067398,0.8550637659414854,0.8526362559241706,0.2466960352422907,0.2589285714285714,0.3767202649167028,0.3846762744010492,0.8780487804878049,0.8518518518518519,0.5714285714285714,0.5263157894736842,0.5128205128205128,0.4545454545454545,0.6451612903225806,0.625,0.7783945986496624,0.7556279620853081
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,5,"[5, 8, 4, 0, 2]","[2, 2, 1, 1, 1]",,,0.8943089430894309,0.9012345679012346,0.4901960784313725,0.52,0.625,0.7222222222222222,0.4032258064516129,0.40625,0.6841710427606902,0.6912766587677726,2.0,isotonic,expected_entropy,0.0745098352578911,0.0740916679744128,0.8706489122280572,0.8955124407582938,0.1694915254237288,0.3766233766233766,0.3625728594595861,0.3656977542072001,0.7764227642276422,0.7901234567901234,0.4954128440366973,0.5321100917431193,0.3461538461538461,0.3766233766233766,0.8709677419354839,0.90625,0.8168792198049513,0.839380924170616
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,6,"[5, 8, 4, 0, 2, 3]","[2, 2, 1, 1, 1, 1]",,,0.9044715447154472,0.9012345679012346,0.4946236559139785,0.52,0.7419354838709677,0.7222222222222222,0.3709677419354839,0.40625,0.6761815453863466,0.6912766587677726,2.0,isotonic,expected_entropy,0.0725373950959547,0.074952073435917,0.8807951987996999,0.8887736966824644,0.2614678899082568,0.2727272727272727,0.3534680313369518,0.3698881630404192,0.8373983739837398,0.8148148148148148,0.5555555555555555,0.5360824742268042,0.423728813559322,0.4,0.8064516129032258,0.8125,0.8241560390097524,0.8138329383886256
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,7,"[5, 8, 4, 0, 2, 3, 9]","[2, 2, 1, 1, 1, 1, 3]",,,0.902439024390244,0.9012345679012346,0.4782608695652173,0.52,0.7333333333333333,0.7222222222222222,0.3548387096774194,0.40625,0.6681170292573143,0.6912766587677726,2.0,isotonic,expected_entropy,0.0719552387901423,0.0742421570295065,0.8909602400600151,0.9001777251184834,0.2878787878787879,0.297029702970297,0.3450484961735609,0.3607412282517558,0.8495934959349594,0.8271604938271605,0.5747126436781609,0.5531914893617021,0.4464285714285714,0.4193548387096774,0.8064516129032258,0.8125,0.8311327831957989,0.8209419431279621
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,8,"[5, 8, 4, 0, 2, 3, 9, 7]","[2, 2, 1, 1, 1, 1, 3, 1]",,,0.9044715447154472,0.9012345679012346,0.5252525252525253,0.52,0.7027027027027027,0.7222222222222222,0.4193548387096774,0.40625,0.6968867216804201,0.6912766587677726,2.0,isotonic,expected_entropy,0.0715387672473332,0.0708304649012054,0.8917104276069018,0.9105450236966824,0.2878787878787879,0.2980769230769231,0.3446039143056505,0.3588625615541808,0.8373983739837398,0.823045267489712,0.5555555555555555,0.5567010309278351,0.423728813559322,0.4153846153846154,0.8064516129032258,0.84375,0.8241560390097524,0.8318276066350712
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,9,"[5, 8, 4, 0, 2, 3, 9, 7, 1]","[2, 2, 1, 1, 1, 1, 3, 1, 1]",,,0.9105691056910568,0.9053497942386832,0.5319148936170212,0.5306122448979592,0.78125,0.7647058823529411,0.4032258064516129,0.40625,0.6934733683420855,0.693646327014218,2.0,isotonic,expected_entropy,0.0697145239564288,0.0692654097302109,0.8918042010502625,0.917654028436019,0.198051948051948,0.3409090909090909,0.3392271489614015,0.351915890963442,0.8556910569105691,0.8600823045267489,0.5696969696969697,0.6046511627906976,0.4563106796116505,0.4814814814814814,0.7580645161290323,0.8125,0.8139159789947487,0.839899289099526
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,10,"[5, 8, 4, 0, 2, 3, 9, 7, 1, 6]","[2, 2, 1, 1, 1, 1, 3, 1, 1, 1]",,,0.9105691056910568,0.9135802469135802,0.56,0.5882352941176471,0.7368421052631579,0.7894736842105263,0.4516129032258064,0.46875,0.714178544636159,0.724896327014218,2.0,isotonic,expected_entropy,0.068054251655485,0.0669056196185483,0.8944861215303825,0.9180983412322274,0.1942675159235669,0.3333333333333333,0.3328126467959451,0.3456805420753688,0.8536585365853658,0.8477366255144033,0.5813953488372092,0.5842696629213483,0.4545454545454545,0.4561403508771929,0.8064516129032258,0.8125,0.8334583645911477,0.8327902843601895
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,0,[],[],,,0.8739837398373984,0.8683127572016461,0.0,0.0,,,0.0,0.0,0.5,0.5,2.0,isotonic,constrained_precision,0.1101361623372331,0.1143778729265763,0.5,0.5,0.1260162601626016,0.1316872427983539,0.5464106505273411,0.5464106505273411,0.8739837398373984,0.8683127572016461,0.0,0.0,,,0.0,0.0,0.5,0.5
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,1,[4],[3],,,0.8739837398373984,0.8683127572016461,0.0,0.0,,,0.0,0.0,0.5,0.5,2.0,isotonic,constrained_precision,0.1037378544517152,0.1048780732613107,0.6353338334583646,0.6779472748815165,0.1260162601626016,0.1316872427983539,0.5122648905298425,0.5372587180123445,0.8089430894308943,0.7860082304526749,0.3472222222222222,0.3953488372093023,0.3048780487804878,0.3148148148148148,0.4032258064516129,0.53125,0.6353338334583646,0.6779472748815165
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,2,"[4, 8]","[3, 3]",,,0.8739837398373984,0.8683127572016461,0.0,0.0,,,0.0,0.0,0.5,0.5,2.0,isotonic,constrained_precision,0.09586717737558,0.0952986995566077,0.7569017254313578,0.7500740521327014,0.1972789115646258,0.1316872427983539,0.4592638743284252,0.5134103720527329,0.5121951219512195,0.419753086419753,0.3258426966292134,0.2842639593908629,0.1972789115646258,0.1696969696969697,0.935483870967742,0.875,0.6933233308327081,0.6128554502369669
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,3,"[4, 8, 0]","[3, 3, 2]",,,0.8760162601626016,0.8847736625514403,0.3711340206185567,0.5,0.5142857142857142,0.5833333333333334,0.2903225806451613,0.4375,0.6253938484621155,0.695053317535545,2.0,isotonic,constrained_precision,0.0915413082022809,0.0906275656961667,0.8011815453863466,0.7899140995260663,0.1972789115646258,0.1463414634146341,0.4345468508812247,0.4546868923141943,0.6544715447154471,0.6378600823045267,0.3928571428571428,0.380281690140845,0.2522935779816513,0.2454545454545454,0.8870967741935484,0.84375,0.7540135033758439,0.7251925355450237
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,4,"[4, 8, 0, 7]","[3, 3, 2, 2]",,,0.8800813008130082,0.8765432098765432,0.1194029850746268,0.1176470588235294,0.8,1.0,0.064516129032258,0.0625,0.5310952738184546,0.53125,2.0,isotonic,constrained_precision,0.0873008646893253,0.0888632804046836,0.8227306826706677,0.8009478672985783,0.2556053811659193,0.1497584541062802,0.4136359609721708,0.4268525895050518,0.6524390243902439,0.6296296296296297,0.4000000000000001,0.375,0.2556053811659193,0.2410714285714285,0.9193548387096774,0.84375,0.7666541635408852,0.7204531990521327
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,5,"[4, 8, 0, 7, 1]","[3, 3, 2, 2, 1]",,,0.8800813008130082,0.8765432098765432,0.1194029850746268,0.1176470588235294,0.8,1.0,0.064516129032258,0.0625,0.5310952738184546,0.53125,2.0,isotonic,constrained_precision,0.0864352903684027,0.0842824439998003,0.8378094523630907,0.8316054502369669,0.2533333333333333,0.1497584541062802,0.4092086657609431,0.4189035426848182,0.7520325203252033,0.7654320987654321,0.4504504504504504,0.4770642201834862,0.3125,0.3376623376623376,0.8064516129032258,0.8125,0.7753188297074268,0.7853969194312795
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,6,"[4, 8, 0, 7, 1, 2]","[3, 3, 2, 2, 1, 1]",,,0.8922764227642277,0.897119341563786,0.3764705882352941,0.4444444444444445,0.6956521739130435,0.7692307692307693,0.2580645161290322,0.3125,0.6208927231807952,0.6491409952606635,2.0,isotonic,constrained_precision,0.081238058215867,0.0786574484573396,0.8606339084771193,0.8593009478672986,0.2947368421052631,0.2230769230769231,0.3855113129416638,0.3877126609492504,0.7154471544715447,0.7242798353909465,0.4444444444444444,0.4462809917355371,0.2947368421052631,0.3033707865168539,0.9032258064516128,0.84375,0.7957989497374344,0.7749555687203791
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,7,"[4, 8, 0, 7, 1, 2, 9]","[3, 3, 2, 2, 1, 1, 3]",,,0.8902439024390244,0.897119341563786,0.3571428571428571,0.4444444444444445,0.6818181818181818,0.7692307692307693,0.2419354838709677,0.3125,0.612828207051763,0.6491409952606635,2.0,isotonic,constrained_precision,0.0797755304608538,0.077584922058147,0.873555888972243,0.8715936018957345,0.3163841807909605,0.2457627118644068,0.3740569353356339,0.3797296491174125,0.741869918699187,0.7407407407407407,0.4686192468619246,0.4615384615384615,0.3163841807909605,0.3176470588235294,0.9032258064516128,0.84375,0.8109152288072018,0.7844342417061612
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,8,"[4, 8, 0, 7, 1, 2, 9, 5]","[3, 3, 2, 2, 1, 1, 3, 1]",,,0.8943089430894309,0.9053497942386832,0.4090909090909091,0.5106382978723405,0.6923076923076923,0.8,0.2903225806451613,0.375,0.6358589647411853,0.6803909952606635,2.0,isotonic,constrained_precision,0.0727291854868471,0.0712767729863969,0.892198049512378,0.9018068720379148,0.3097826086956521,0.3186813186813186,0.3465103657916748,0.35284043837087,0.8373983739837398,0.8395061728395061,0.5555555555555555,0.5714285714285714,0.423728813559322,0.4406779661016949,0.8064516129032258,0.8125,0.8241560390097524,0.8280509478672986
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,9,"[4, 8, 0, 7, 1, 2, 9, 5, 6]","[3, 3, 2, 2, 1, 1, 3, 1, -1]",,,0.8882113821138211,0.9012345679012346,0.3373493975903614,0.4782608695652174,0.6666666666666666,0.7857142857142857,0.2258064516129032,0.34375,0.6047636909227306,0.6647659952606635,2.0,isotonic,constrained_precision,0.0774025724773432,0.0755049972663994,0.8813765941485371,0.8831457345971564,0.3163841807909605,0.2457627118644068,0.3646688731820722,0.3747748618866038,0.741869918699187,0.7283950617283951,0.4686192468619246,0.45,0.3163841807909605,0.3068181818181818,0.9032258064516128,0.84375,0.8109152288072018,0.7773252369668247
thorax,0,"[-3, -2, -1, 1, 2, 3]",PSL,,10,"[4, 8, 0, 7, 1, 2, 9, 5, 6, 3]","[3, 3, 2, 2, 1, 1, 3, 1, -1, -1]",,,0.8841463414634146,0.8930041152263375,0.3595505617977528,0.4800000000000001,0.5925925925925926,0.6666666666666666,0.2580645161290322,0.375,0.6162415603900975,0.673281990521327,2.0,isotonic,constrained_precision,0.0821311326871767,0.0796465765699886,0.8639909977494373,0.8779620853080569,0.2842639593908629,0.2384615384615384,0.3854231923101807,0.391639338107252,0.7947154471544715,0.7983539094650206,0.5024630541871922,0.5050505050505051,0.3617021276595745,0.373134328358209,0.8225806451612904,0.78125,0.8066391597899475,0.7910989336492891
