dataset,fold,score_set,method,stage,features,scores,lookahead,psl_calibration_method,psl_optimization_metric,brier_score_loss_train,brier_score_loss_test,roc_auc_score_train,roc_auc_score_test,constrained_precision_train,constrained_precision_test,expected_entropy_train,expected_entropy_test,accuracy_score_y_pred_train,accuracy_score_y_pred_test,accuracy_score_y_bal_train,accuracy_score_y_bal_test,f1_score_y_pred_train,f1_score_y_pred_test,f1_score_y_bal_train,f1_score_y_bal_test,precision_score_y_pred_train,precision_score_y_pred_test,precision_score_y_bal_train,precision_score_y_bal_test,recall_score_y_pred_train,recall_score_y_pred_test,recall_score_y_bal_train,recall_score_y_bal_test,balanced_accuracy_score_y_pred_train,balanced_accuracy_score_y_pred_test,balanced_accuracy_score_y_bal_train,balanced_accuracy_score_y_bal_test
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,0,[],[],2,isotonic,expected_entropy,0.1372243261305413,0.1409303550092144,0.5,0.5,0.1641791044776119,0.1696969696969697,0.6442142137378307,0.6442142137378307,0.835820895522388,0.8303030303030303,0.835820895522388,0.8303030303030303,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,1,[5],[3],2,isotonic,expected_entropy,0.1175403928954898,0.1233822576535508,0.7554383116883118,0.7353362877997915,0.3095975232198142,0.1696969696969697,0.5279559231999013,0.5042889044173104,0.835820895522388,0.8303030303030303,0.6522388059701493,0.6666666666666666,0.0,0.0,0.4618937644341802,0.4607843137254901,,,0.3095975232198142,0.3175675675675675,0.0,0.0,0.9090909090909092,0.8392857142857143,0.5,0.5,0.7554383116883117,0.7353362877997914
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,2,"[5, 21]","[3, 2]",2,isotonic,expected_entropy,0.1094093924769456,0.1085436219770134,0.8110551948051948,0.8366136600625652,0.3095975232198142,0.2947368421052631,0.4992036026799881,0.488133534515086,0.8388059701492537,0.8484848484848485,0.6522388059701493,0.6666666666666666,0.4705882352941176,0.537037037037037,0.4618937644341802,0.4607843137254901,0.5106382978723404,0.5576923076923077,0.3095975232198142,0.3175675675675675,0.4363636363636363,0.5178571428571429,0.9090909090909092,0.8392857142857143,0.6771103896103896,0.7169577685088635,0.7554383116883117,0.7353362877997914
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,3,"[5, 21, 6]","[3, 2, -3]",2,isotonic,expected_entropy,0.1087958591036763,0.1083932198019821,0.8229545454545454,0.8212982273201251,0.3095975232198142,0.31875,0.4829596054313556,0.468417519340097,0.8388059701492537,0.8484848484848485,0.6522388059701493,0.6666666666666666,0.4705882352941176,0.537037037037037,0.4618937644341802,0.4607843137254901,0.5106382978723404,0.5576923076923077,0.3095975232198142,0.3175675675675675,0.4363636363636363,0.5178571428571429,0.9090909090909092,0.8392857142857143,0.6771103896103896,0.7169577685088635,0.7554383116883117,0.7353362877997914
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,4,"[5, 21, 6, 28]","[3, 2, -3, 2]",2,isotonic,expected_entropy,0.1075190781944709,0.1112145508538875,0.8352597402597403,0.829575078206465,0.3081570996978852,0.293103448275862,0.4715834803816166,0.4590149747161792,0.8477611940298507,0.8333333333333334,0.6462686567164179,0.6636363636363637,0.3625,0.3529411764705882,0.4625850340136055,0.4688995215311005,0.58,0.5172413793103449,0.3081570996978852,0.3202614379084967,0.2636363636363636,0.2678571428571428,0.9272727272727272,0.875,0.6130681818181818,0.6083811261730969,0.7591720779220779,0.7477189781021898
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,5,"[5, 21, 6, 28, 10]","[3, 2, -3, 2, 1]",2,isotonic,expected_entropy,0.1064136991250686,0.1108855215695982,0.8402678571428572,0.8301290406673618,0.3047337278106509,0.2903225806451613,0.460119673239289,0.4420234368023857,0.8477611940298507,0.8333333333333334,0.6388059701492538,0.6606060606060606,0.3625,0.3529411764705882,0.4598214285714285,0.4666666666666667,0.58,0.5172413793103449,0.3047337278106509,0.3181818181818182,0.2636363636363636,0.2678571428571428,0.9363636363636364,0.875,0.6130681818181818,0.6083811261730969,0.7583603896103897,0.7458941605839415
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,6,"[5, 21, 6, 28, 10, 26]","[3, 2, -3, 2, 1, 2]",2,isotonic,expected_entropy,0.104312635954427,0.1093587024332138,0.8452516233766234,0.8394812304483837,0.3049853372434017,0.2842105263157894,0.4531186867404524,0.4396667112684566,0.8507462686567164,0.8424242424242424,0.6373134328358209,0.6575757575757576,0.4047619047619047,0.4090909090909091,0.4611973392461197,0.4644549763033175,0.5862068965517241,0.5625,0.3049853372434017,0.3161290322580645,0.3090909090909091,0.3214285714285714,0.9454545454545454,0.875,0.6331168831168832,0.6351668404588112,0.7611201298701298,0.7440693430656935
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,7,"[5, 21, 6, 28, 10, 26, 17]","[3, 2, -3, 2, 1, 2, -3]",2,isotonic,expected_entropy,0.1036305062241086,0.1141387893833244,0.8378733766233766,0.8037669447340979,0.2872062663185378,0.1696969696969697,0.4484727123536424,0.4194667391987483,0.8537313432835821,0.8424242424242424,0.5925373134328358,0.603030303030303,0.4096385542168674,0.3953488372093022,0.4462474645030426,0.4329004329004329,0.6071428571428571,0.5666666666666667,0.2872062663185378,0.2857142857142857,0.3090909090909091,0.3035714285714285,1.0,0.8928571428571429,0.6349025974025975,0.628063086548488,0.75625,0.7183263816475496
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,8,"[5, 21, 6, 28, 10, 26, 17, 7]","[3, 2, -3, 2, 1, 2, -3, -2]",2,isotonic,expected_entropy,0.102791469855099,0.1140275904959167,0.842922077922078,0.8057221063607924,0.2972972972972973,0.1696969696969697,0.4420171393040769,0.419851863315794,0.8537313432835821,0.8424242424242424,0.6119402985074627,0.6121212121212121,0.4096385542168674,0.3953488372093022,0.4583333333333333,0.4385964912280702,0.6071428571428571,0.5666666666666667,0.2972972972972973,0.2906976744186046,0.3090909090909091,0.3035714285714285,1.0,0.8928571428571429,0.6349025974025975,0.628063086548488,0.7678571428571428,0.7238008342022941
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,9,"[5, 21, 6, 28, 10, 26, 17, 7, 9]","[3, 2, -3, 2, 1, 2, -3, -2, -1]",2,isotonic,expected_entropy,0.1017185178107454,0.1138129698352912,0.8470698051948051,0.7983902502606882,0.2981029810298103,0.1696969696969697,0.4380656464685022,0.4152516169389618,0.8552238805970149,0.8454545454545455,0.6134328358208955,0.6090909090909091,0.4049079754601227,0.3999999999999999,0.4592901878914405,0.4317180616740088,0.6226415094339622,0.5862068965517241,0.2981029810298103,0.2865497076023391,0.3,0.3035714285714285,1.0,0.875,0.6321428571428571,0.6298879040667362,0.76875,0.7148722627737226
adult,7,"[-3, -2, -1, 1, 2, 3]",PSL,10,"[5, 21, 6, 28, 10, 26, 17, 7, 9, 1]","[3, 2, -3, 2, 1, 2, -3, -2, -1, 2]",2,isotonic,expected_entropy,0.1005653005515606,0.1173145215043753,0.8478409090909091,0.8017140250260688,0.2964959568733153,0.1696969696969697,0.4345265687529998,0.4127788236598893,0.8582089552238806,0.8363636363636363,0.6104477611940299,0.6090909090909091,0.4378698224852071,0.3863636363636363,0.4573804573804573,0.4366812227074236,0.6271186440677966,0.53125,0.2964959568733153,0.2890173410404624,0.3363636363636363,0.3035714285714285,1.0,0.8928571428571429,0.648538961038961,0.6244134515119917,0.7669642857142858,0.7219760166840459
